id,message,original,genre
64,People from Jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.,"MOUN JACMEL YO MANDE POU ENSTANS KONSENE YO VOYE YON TRAKTER NAN WOUT JACMEL LA, PASKE GEN ANPIL DEZOD SOU SA A ( MARCELIN JEAN DEPI JACMEL )",direct
65,Im asking a general prayer for the country of Haiti.,MWEN MANDE YON JEN NASYONAL POU PEYI A,direct
66,"We are at KF Marotiere 85, we have food and water shortage, please send food for us.",Nou nan kf maroty 85 nou pa gen dlo val anvayi nou voye manje manje pou nou tanpri bay mesaj la,direct
67,I'm listening to you at Miraguan we asking the government to take change because one gallon gas is 80.,MWEN AP KOUTE NOU MIRAGWAN NOU AP MANDE POU RESPONSAB YO PRAN YON DESIZYON NAN MOMAN NOU YE LA A GALON GAZOLINE AP VANN 8O DOLA.,direct
68,What's up? I would like to know how the Arab is doing.,Sak pase mwen ta renmen konnen kijan arab la ye,direct
70,I am listening to radio wa in jacmel. I am asking for help to remove the dead bodies under La trinite college situated at university inasmo. The dead bodies are those of students and teachers,"Mwen ap koute radyo wa jakmel map mande pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwo",direct
71,In which transfert house does someone abroad has to go to send money to haiti,nan Ki mezon transf yon moun ki a letranje ka itilise pou voye lajan pou yon fanmi li ki an ayiti?,direct
73,"For your information, There are people that are found in the rubbles of the School of Trinite, ( L'Ecole Sainte Trinite ) in Jacmel. Cookies brought to them by Colombian dogs are keeping them alive.","Pou infomasyon juska pwesent genyen moun yo touve aba decon nen lekol latrinite nan jakmel, se chien colombien ki pote bonbon nan bouche yo bay moun sa yo",direct
74,When can we get some help in Jacmel?,Kil nou ka jwenn asistans nan jakml,direct
78,How can we find help and food in fontamara 43 rue menos,Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos nan tet la bel,direct
79,"SOS SOS, please provide police officers on the streets as they are very insecure",EMGENCY EMGENCY SI POLIS LA TE KA BAY PREZANS LI SOU CHAK PLAS AK LARI LI TAP BON PASKE CHAK SWA YO F ANPIL DEGA MENM DETWI LAVI MOUN ENPOTAN,direct
80,.. .. . we are here our mother has no more water. if you are there let us know ( location not provided ),MLT KK LWE ESKE NOU LA MANMAN NOU PAGEN DLO ANK SILA FL KON,direct
81,People needing water with baby Location : Beach 24,Gen ampil pwoblem nan kot plaj 24 nou ta renmen jwen dlo gen ti bebe kap soufri nou gen 3 jou konsa,direct
82,"help is needed in fond parisien, no idea where that is, but any haitian can tell you",san panse pou fonparisyen vin kapital peyia?gerbens,direct
83,"We're asking for water, medical supply, food","Nap mande tout ganizasyon kap bay d yo, nan kwadbouk pli presizeman nan lokalite nwal, ki pa gen dlo, mange, medikamen depi li seys la pase a.",direct
84,"My home is at Gressier, it has almost collapsed. I would like to distroy it before it collapses completly.",Kay mwen nan gresi pri tomb mwen ta renmen metel ati avan l tomb,direct
85,would like to know where food and water are being distributed. ( location not provided ),Mwen ta renmen konnen ki kote nou ka jwenn yon ti dlo moun ka bw ak yon ti ed manje pou yon group moun ki grangou. Mesi,direct
86,"i am very happy, i hear god, religious hyme",Mwen tre kontan li mwen tande bondye fe ou la mwen ap diw demi deyi anba pwela pou seren leswa,direct
88,We are seven in the house. Located betwenn Musso and Juvenat. Dyobel-Dyobal. .. not sure The rest of the information is not clear.,"Mwen salye nou pou sipo n ak solidarite nap bay pap ayiswen an jodi a. M abite nan yon tizo n ki rele dyobl ant miso ak jivna 7 andan net, koman pou n",direct
90,He is a pastor and an interpreter seeking to help response teams.,I am an interpreter I am really to give my help. So today I was at the airport but I am sorry because there was no way. My name is Gerard Derice. I am pastor.,direct
91,we have problem at Paco Lazon this is General Police Department we want you to know we almost out of food and water.,Nou gen pwoblem nan paco la zon Direksyon General Police sove nou paske mange ak dlo nou ap fini et nou bezwen lot swen sante secours SVP!,direct
92,We are in Sainte Bernadette. There are 2 areas that have not received anything. We are buying water ( warm ) for 5 gourdes.,nou nan st banadt nan fem nou se2 kote ki pako jwenn anyen nap ht 1sache dlo cho pr 5g andanw,direct
94,I would like to communicate with my family I don I t have any minutes on my cell phone please help,"Mwen ta renmen kominike ak fanmi mwen, men mwen pagen kat sou telefon mwen",direct
95,some people are sleeping outside on a field at Lilavois 50 and are dying of hunger since January 12th.,fit des habitants qui dorment a la belle etoile sur le terrain de Lilavois 50 et qui meurent de faim depuis le 12 janvier.,direct
96,Friend I dont know what is going on with you for I hear of what is going on but i have not hear any news about you. I hear what happen Carrefour and petion-Ville,"Kamarad, mwen pa konn sak pase ou menn. paske mwen pa pran nouvel ou. Mwen tande sak pase Kafou, Delma ak Petyon Vil. Mwen pa konn si lot kamarad yo vik",direct
97,"i'm asking for help to this valley especially Santo, Sath, B","MWEN MANDE POU D YO RIVE NAN PLENN NAN TOU SI TOU NAN SANTO, SATH, B",direct
99,"I am a driver, a mechanic ,. I want to help","MWEN SE YON NMALIEN, CHOF, MEKANISYEN MWEN BEZWEN BAY SEKOU",direct
100,a lot and we don't have any news of him. We haven't even found a body so we could at least know he is dead. The hospitals need to be checked and the registry books also. Please help us!! ( This seems to be the end of another message ),"anpil E nou pa gen oken nouvel li, menm ke a nou pa jwenn o mwen nou ta di li mouri. F yo verifye nan lopital yo, sitou nan kaye rejis yo. Mesi. Ede n svp",direct
101,"We have a big problem in Jacmel, we left Port-au-Prince without food, clothes and money. we are really in a critical situation.","Nou gen gwo pwoblem nan jakmel, espesyalman nan kok chant paske nou siti potopwens san rad, san manje, san kob. nou vrman nan yon siyasyon tre kritik. nou ta",direct
102,We would like to receive some help in the Section Communale. There is a lot of violence.,renmen pou yo ta fe yon bagay pou nou nan seksyon kominal yo. se te Bichet depi kek chant.,direct
103,I would like to know how food is distributed.,J aimerais savoir les piste de distribution.,direct
105,I can play carnaval Anbasad Camp there I think this is a simple comment about a creole rap group - Anbasad Camp. Does not refer to location or read as a cry for help. TK,M ka jwen kanaval anbasad camp lan,direct
106,A cold front is found over Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected over our region tonight.,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct
107,ples give us cell cards ( cell phone minuts ) we cannot find cell phone cards to buy,Vou kat pou mwen mesi davance digi pake nou pa ka jenn kat achete.,direct
108,Whoever sees her in the streets : she was wearing a white denim skirt and a printed black t-shirt and her hair is in a cornrow do.,AL NENPOT MOUN KI WEL NAN LARI MEN KI KOULE RAD KI SOULI JIP DINN BLANK PASE SOU KOTE JIP LA youn mayo nwa souli ekriti blank pase devan l li penyen tiko,direct
110,"Please we need help, food and toiletries.",KI KRAZE. TAMPRI NOU BEZWEN ED MANJE AK ATIK POU TWALFT ELATRYE. D,direct
111,A weather forcast. . of a cold front in cuba and could pass through haiti by night..,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct
112,"food water mediacation, we dont have tents to protect our selves, i am using my cistern. lovation not provided","e, dlo, medikaman, n pa gen tant pou protegenn kont soley ak lapli. Genyen anpil lot fanmi ki afekte m pa konnen effectif la vrman. tanpri si n resevwa me",direct
113,good people help us. god bless you and us too,saj sa ede nou. God bless you and us too.,direct
114,"The ADJS group house in Jacmel. They are talking with people in the southeast. There are a lot of victims and people suffering, especially in Jacmel. Something about an entire house collapsing. The road sot pop in Jacmel is cut off.","Gwoup, AJDS kay jakmel, pa dande nou pale d sides ditou, nou viktim anpil, sitou vil jakmel gaya pa ret kay ank kay jakmel rout sot pop, a jakmel la koupe",direct
115,This is a request that the aid services not forget the south-east region because there are a lot of victims and people suffering there. A number is given.,nap mande poun pa bliye sides la paske nou viktim anpil. 6515O96,direct
117,Where can people in Fort Mercredi can find food and water?,ki kote mounn fort mercredi ka jwenn dlo ak manje?,direct
118,( im taking a guess at this sorry its a mix of creole and french. sms.) message as i understand. whos close to mounn fort mercredi  food and water is running low. because there is a problem with people hurt. please help us.,Ki kote mounn fort mercredi ka jwenn manje ak dlo. paske nou gen anpil pwoblem nan zonn nan. please ede nou.,direct
119,We are at Fort Mercredi ( wednesday ) where can we find tents and treated water.,Nous sommes  Fort - Mercredi Ou on peux trouver des tentes et des eaux traites,direct
120,whos next to fort mercredi i would like food and water please,KI KOTE MOUNN FORT MERCREDI KA JWENN DLO AK MANJE. PLEASE,direct
121,The wounded in the Saint Michely hospital have no medicine. (This looks like part of a message that got cut off),"kiblese yo, nan lakou lopital saint michel yo pagen medikaman, yap m",direct
122,"We are about 500 people. We're in Martissant 23, Village Dantes. God bless you.","onn effectif la pou zonn nan men nou ka anviron 500. Tanpri eden nou nan martisan 23, village dantes. God bless you and us.",direct
123,"Digicel let me go through, it's an emergency",D. igicel kitem pase se yon urgeence,direct
124,Where can I find Capital Bank please?,ki adres nou ka jwenn kapital bank silvouple,direct
125,We are in Plaine du Cul-de-sac. Where's the nearest food distribution?,Nou laplan di kildesak ki ba yap bay dlo ak manje.,direct
126,I am listening to Radio Dabon. We need help and doctors in that area. We are unable to move around because we have no gas. Dabon is located close to Leogane.,"Map koute radyo Dabon, map made s. o. s poun ka jwenn dokt nan zon sa yo paske mwayen deplasman difisil paske pa gen gaz.",direct
127,"The message might be saying that they have been stuck in the presidential palace ( pal ) since the same Tuesday ( as the quake ). They need water. The message says they are not finding a little water. No names, no number of people given.",Bonjou nou nan paldela depi madi menm yon ti dlo nou pa jwenn,direct
128,"I live in La Plaine, my wife is pregnant, she got injured by falling blocks. She cannot walk. we have not found anyone to help us. We are in the area called Moya",Mwen la plan madan m ansent m pa gen lajan blok frapel li paka mache nou pajwen n yon moun ki pase we nou mwen nan zon moya,direct
129,"Our imcomprehensibley of 9 member was repatriated incomprehensible - (Location) Duvivier, Fond Grango","asyon de 9 manb nou nan rapatriye zon la plan divivye fontan, grango",direct
130,"URGENT ACTION NEEDED --this is follow up from previous SMS in regards to possible delivery... possible to deliver my baby in an other country, does not matter what it is..",sible de faciliter mon accouchement dans un autre pays n importe lequel,direct
131,Please add airtime on my phone. Thanks,mete kat sou telefon mwen. Mesi,direct
132,"We are in dire need of food, water and temporary shelter. We need to know where we can get supplies. We are located in Frere Boukan, La plaine.",Nou pa gen manje Dlo ak abri pwovizwa nou bezyen konnen ki kote nap jwen n adres nou se wout de fr boukan lapli.,direct
133,"The road is damaged and there is no gas, would like to find a motocycle. It costs 500 to go to Port-au-Prince. No one has any money.",Wout la koupe pa gen gaz siw ta jwen yon moto potew metew pop se 5OO epi moun yo pa gen mwayen nan men yo.,direct
134,I woul like to know if aide is only available in pap as the provinces where badly hit as well,Sivouple mwen tarenmen konnen eske ed yo sepou selman potoprens yo ye?paske andey yo fwape tou,direct
135,We have a factory that is on FIRE on road to the airport near Sogebank. It's starting to burn several nearby houses with documents left in them. Please come and help us!!!,Nou gen yon faktori ki pran dif sou wout aerop a b sogebank la li komanse boule tout dokiman ki te rete nan plizy kay yo. tanpri vinn di nou.,direct
136,"Good morning Radio One, there are a lot of victims in Fonds Verettes with no one to speak for us",Bonjou RADIO ONE kom nou gen anpil moun Fon vrt ki viktim men ou konnen se Majistra a ki ta pou f vwa pap la pase men li pat konn abitye fe sa men ant,direct
137,Can you contact a post radio station for us because w do not have any representatives for any assistance in F V R T.,ouka staf radio a sa nan men nou paske nou pagen reprezantan ditou nan F. vrt.,direct
138,I would like to know if the radio announcers are alive.,Louko mta renmen konnen si tout animat radyo 1 yo vivan,direct
139,A cold front is on Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected for our region.,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct
140,"Our area, because we are in an area that has many victims with no help.",ZONE SA PASKE NOU FE PATI ZONE KI PLIS VIKTIM YO E NOU PA JWEN ED A,direct
141,"I am in Petion Ville, in b. .. incomprehensible, we have no water, there is nothing, there is no money. What is being given in Petion Ville and where?","Mwen petion ville nan bte, nou pa gen dlo, pa gen anyen, pa gen lajan. Kisa kap bay nan petion ville la e ki kote?",direct
143,City that i'm near is Port-au Prince for me 'm at Titanyen,Vil ki pi pwoch mwen se pa o prens. mwen titanyen.,direct
144,We are a group of police and we found a kid on road 10? st anne please send rescue,Nou se yon gwoup polisye gen yon ti moun ki vivan nan ri di sant bo legliz st anne voye sekou pou li,direct
146,"Dans la zone de Saint Etienne la route de Jacmel est bloqu, il est trsdifficile de se rendre  Jacmel",Nan zon st. etine rout jakmel la bloke se mize pr nou al jakmel,direct
147,"We are hungry, we are in the streets. We were robbed we are currently in Vivi Mitchell, Route Freres","NOU GRANGOU, NOU NAN LA RI. VL VIN SOU NOU. ROUTE FRERE, VIVI MITC",direct
149,Please Bo Gravel Vob Ta A 41 we are hungry. Need food.,SVP BO GRAVEL VOB TAA 41 NOU GRANGOU,direct
150,where they should go for water today,kibo yap bay d jodia nan santvil la,direct
151,"I don't know Rue du Muguet, Route de Desprez 7. Is there another location on the Airport Road?","Mwen pa konnen rue du muguet, route de desprez 7 la. eske pa gen yon lot adres sou wout aeroport la.",direct
152,We live in La Pleine. Since Tuesday we've been sleeping on the street. Hunger is killing us.,"NOU ABITE LAPLN, DEPI MADI A SE NAN LARI NAP DOMI GRANGOU AP TIYE",direct
153,"We live in La plaine, we've sleeping in the streets since tuesday. Our house is destroyed. We are dying of thirst and hunger. we can't take this anymore. we'd like to know when the help is coming.","Nou abite laplan depi madi a se nan lari nap demi, kay nou kraze, grangou ak swaf ap tiye nou, nou pa kapab ank, Nou ta renmen konnen kil d yo ap komanse",direct
154,I am in LaPleine. Precise location is Carrefour Marin.,"nan laplan, presi zeman nan marin. Mesi",direct
155,There's a fire at the Perpetuel Secours Church. Please send firefighters.,"Legliz Perptuel sou bl fok pran dife, voye ponpie pou zon bl.",direct
156,"I am from Anse a pitree my house which was in Delmas 32 was destroyed with everything I had inside. I went back to my hometown of Anse a pitrea. I would like to know how to get some help, because I have absolutely nothing!",MWen se moun ans a pitre men mwen gen kay delmas 32 ki kraze ak tout afm mwen ale nan peyim koman poum fe poum jwenn ed paskem pa gen anyen nan menm.,direct
157,"We need food, medicine at lilovois 47 Monarque.",F nou d manje e medikaman nou nan lilovois 47 Monarque P.,direct
159,"We are not located in one place, and i want you to know there is a lot of available spaces to put up tent for shelters  is the reason why we station in front of our house for more safety against thief, as you see.",ske se pa yon sel kote nou ye epi map fe nou konnen zon gen espas pou konstri anpil tant se pou sa nou tann dra devan lakay nou paske vole lague ou ka re,direct
160,"We have no food and water in Santo 15. They are distributing food and water everywhere, but we need it here too","Nou gen pwoblem manje nan santo 15 ak dlo, tout kote yap fe distribisyon manje ak dlo eske nou pa sinistre tou",direct
161,"We are in Galet, we are hungry - Tabarre 41 a little further up from the american embassy.",NOU NAN GALET NOUGRAN GOUT TABA 41 PIWO ANBASAD,direct
162,"We have a commitee from Santo 15 nameAjeans: Youth Association in action for a new society that was founded in September 2009, the president is..","nou gen yon komite nan santo 15 ki pote non ( ajeans : association des jeunes en action pour une nouvelle societe ) ki fome nan mwa septanb 2009, prezidan se",direct
163,There are a lot of criminals in Jacmel city. We are asking the police to come there.,genyen anpil bandi ki lage nan vil jakmel nap mande pou p. n. h fe travay li,direct
164,We are dying of hunger in Petion Ville,"Nou steel pa ka jwenn manje petion ville nan bte, nap mouri wi.",direct
165,I'm exactly at Akay in an area they name Toman 43 miles near by Kabar in a location name Kafou lachomy.,Mwen egzateman akay nan yon zon yo rele toman km 43 vil ki tou prm nan se kabari nan yon katye yo rele kafou lachomy,direct
166,What time will the American Embassy open tomorrow?,A kile ambassade americain ap ouve demain?,direct
167,"We are a construction firm ( South African? ) Let us be recruited for your civilians, 2 architects - 2 stockholders? Wondering the needs of the moment.","Ns sommes une firme de construction S. A Nous recrutons 4 ingnieurs civils, 2 architectes et 2 nouveaux actionnaires pr repondre aux besoins du moment.",direct
170,What is being done for Jacmel - there are many people trapped underneath rubbles at college Latriniti help,Ki sakaft pou jakmel nou gen anpil moun nan kolj latrinite ki anba dekomb yo,direct
171,Can people enter their houses? When will we have electricity?,Eske moun ka rantre lakay yo? Kila pa la ka jwenn kouran?,direct
172,We need all kinds of help in Bon Repos Route ONA VILE. The people really need help!!!,Et aussi on a besoin de l aide de toute sorte du cote de BON REPOS route ONA VILE ou les gens veulent vraiment qu on les aident,direct
173,In what area is Muguet street? please is it in the city or in petion Ville?,NAN KI BLOK RI MUGUET LA YE SVP ESKE SE LAVIL OU PETIONVIL,direct
174,"Please, call or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th","Please, call or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th",direct
175,Is it true that the political city will held in Hinche?,est-ce vrai?la ville politique du pays sera hinche,direct
176,"in what field would you need me to speak creole. French, half english, ( MW? )","NAN KI DOMAN WAP BEZWENM MWEN PALE KREYL, FRANS, MWATYE ANGL, MW",direct
177,"unrecognized characterse initial formation accelerated, organized by MENFP, financed by BID, launched in truncated",A fmasyon inisyal akselere GANIZE PA MENFP FINAN PA BID LANSE NA,direct
178,continues previous truncated message : regarding education for all,N KAD EDIKASYON POU T0U MOUN.,direct
181,Bizoton desperately needs help. We are humiliated.,Bizoton pa okenn ankadreman nou imilye,direct
182,Where can I find a car to leave in?,ki kote map ka jwenn machin pou ale nan n?,direct
183,Hello Good Morning We live on 31 Delmas we are without water without food and what we had have finished Please do something for us!,"Alo bonjou nou trouve nan delmas 31 prolonge san dlo, san manje resv nou yo fini mezanmi fe you bagay pou nou !",direct
184,"Carrefour Feuille extended, we need help. We are waiting!",Carrefour feuille prolonje haid secour je vous attendre merci,direct
185,I am in Carrefour on a street near EDH ( Electricity of Haiti? ) Help us please,MWEN NAN KOMIN KAFOU NAN ROUT BO EDH EDE NOU SOUPLE,direct
187,"Everyone, do not forget the people of Merger, we don't have any water, we are hungry. If it rains, we will all die",Mezanmi pa bli mounn merger yo nou pa gen dlo nou grangou si la pli vini nou tout ap moui,direct
190,"Digicel, I have a problem, my family doesn't know where I am, I can't call, please help","DIGICEL MWEN GEN PROBLEM, FANMIM PA KONN KOTEM WE MWEN PA K RELE SVP EDEM",direct
191,Please. Send humanitarian aid so we can survive. We are in Delmas 40B village Musso on the golf course. Thank you,Svp. Voye ed imaniti pou nou ka suviv. nou nan delma 40 b vilaj muso sou teren glf la. Mesi.,direct
193,good evening we ? carrefour feuill ???we are dying of hunger and ther is no water pleas help us,Bonswa nou sou taren kanpch kafou fy anl sen gera nap mouri ak grangou pa gen dlo tanpri ede nou,direct
194,the people in the village of god need food and water so that they can stay. It is isn the university of Kiskeya ( in the area of delams 35 right of the main delmas road ). pleas respond,"Tanpri moun ki nan vilaj de Dye bezwen manje ak dlo trete epi tant pou yo kapab rete, se nan inivsite kiskeya tout pap la ye, tanpri reponn avek demand",direct
195,Can someone who has a visa travel out. What can he do?,Eske yon moun ki gen visa ka pati nan moman sa kisal ka f.,direct
197,there are alot of victimes that have arrived ath the Marchand Desalin and nan Ranboto hospital. they do not have enough supplys or specialist ( surgeons ) i would like this looked into,"Gen anpil viktim ki rive nan lopital Machan Desalin ak nan raboto Gonayiv. nan lopital sa yo, pa gen ase swen e manke dokt spesyalis. Mta renmen yo panch",direct
198,"help us at delmas 65 orchidee street, we are thirsty. thanks",Aide mous a delmas 65 rue orchidye nous avons soif. Merci,direct
199,"we want people to know that people that were in Port au Prince that came to Cap-Haitian have no food to eat. ( Cap-Haitien is in the north, 250 km from Port au Prince )",te potopwens ki vini okap ayisyen san yo pa genyen anyen pou yo man,direct
200,"And in St. Marc, just came to save their lives","en nan st mak, ki jis vini pou sove vi yo.",direct
201,talk to me about the earthquake please.,Parle-moi un peu du seisme svp!,direct
202,?? port au prince ?? and food. they need goverment aid and international aid thak you. god bless haiti,"p bay pap la syen ak manje. Yo bezwen ed gouvenman an ak d entenasyonal. Mesi, BonDye beni Ayiti.",direct
202,?? port au prince ?? and food. they need goverment aid and international aid thak you. god bless haiti,"p bay pap la syen ak manje. Yo bezwen ed gouvenman an ak d entenasyonal. Mesi, BonDye beni Ayiti.",direct
204,I am in Liancourt a province in the artibonit. we have recieved alot of victimes from pap. in different condition. some are very serious some are not. pleas send help for these people.,MWEN LYANKOU YON PWOVENS NAN LATIBONIT NOU RESEVWA ANPIL VICTIM PAMI YO GEN BON GEN MOVE JE POU SA NOU BEZWEN SEKIRITE AVEK ED ALIMANTE POU NOU KA PI BY,direct
205,"Hello, we live in La Plaine, close to Route National #1, between Carrefour Vencent and bary zone. We need food, water, tents etc. ..","Bonjou, nou abite nan la plaine zon wout nasyonal #1, antre kafou vensan zon bary f. Silvoupl nou gen bezwen manje, dlo potab, tant etc. .. Nou fme yo",direct
